"","Country.x","Deaths...million","Deaths","Cases","iso3c","Country.y","Region.x","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","Country..or.territory.","Region.y","Hospital.beds.per.1.000.people.2013","Hospital.beds.per.1.000.people.2014","Hospital.beds.per.1.000.people.2015","Hospital.beds.per.1.000.people.2016","Hospital.beds.per.1.000.people.2017","Occupancy....","ICU.CCB.beds.100.000.inhabitants","Ventilators","Country","Obesity.rate....","Location","Vaccinated","Percent"
"59","Germany","2,098","174,979","38,437,756","DEU","Germany","Western Europe",83900,240.7,"Berlin",3556.8,"18-Sep-73","357582",97.9,"Euro (EUR)",0.8,3861124,0.6,46231.6,94,"1382851",1171421,211430,266326,77.4,"Germany","Europe",8.28,8.23,8.13,8.06,8,62.1,38.7," 25,000","Germany",22.3,"Germany","64,876,299",77.82
"60","Sint Maarten","2,081","92","11,051","SXM","Sint Maarten (Dutch part)","Caribbean",43,1277.1,"Philipsburg",40.6,NA,"34",NA,"Neth. Ant. Guilder (ANG)c",1.8,1009,5,23803.9,NA,NA,NA,NA,-149,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sint Maarten","29,788",67.41
"61","Bahamas","2,058","844","38,084","BHS","Bahamas","Caribbean",397,39.7,"Nassau",279.7,"18-Sep-73","13940",94.6,"Bahamian Dollar (BSD)",1,13579,1.2,34863.7,101,"410",2790,-2380,-2065,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bahamas",31.6,"Bahamas","174,810",42.64
"62","British Virgin Islands","2,042","64","7,305","VGB","British Virgin Islands","Caribbean",30,202.8,"Road Town",15.1,NA,"151",NA,"US Dollar (USD)",NA,1297,2.6,43188.6,NA,NA,NA,NA,NA,48.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Virgin Islands","19,466",62.55
"63","Ecuador","2,002","36,043","1,069,135","ECU","Ecuador","South America",17888,72,"Quito",1847.7,"21-Dec-45","257217",100,"US Dollar (USD)",NA,107436,0.1,6183.8,98,"20224",16140,4084,2474,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador",19.9,"Ecuador","15,333,873",85.18
"64","Lebanon","1,994","10,947","1,239,904","LBN","Lebanon","Western Asia",6769,661.7,"Beirut",2406.9,"24-Oct-45","10452",101.5,"Lebanese Pound (LBP)",1507.5,53367,-5.6,7784.3,101,"3468",15472,-12004,-11540,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lebanon",32,"Lebanon","2,740,227",49.92
"65","Andorra","1,991","159","48,015","AND","Andorra","Southern Europe",77,164.6,"Andorra la Vella",22.6,"28-Jul-93","468",NA,"Euro (EUR)",0.8,3154,1.8,40887.4,NA,"165",1499,-1334,568,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andorra",25.6,"Andorra","57,901",72.52
"66","Panama","1,962","8,654","1,047,555","PAN","Panama","Central America",4382,58.9,"Panama City",1821.7,"13-Nov-45","75320",100.2,"Balboa (PAB)",1,66788,3,15728,104,NA,NA,NA,1233,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panama",22.7,"Panama","3,533,477",80.15
"67","Grenada","1,897","238","19,693","GRD","Grenada","Caribbean",113,332.4,"Saint George's",39.3,"17-Sep-74","345",101.4,"E. Caribbean Dollar (XCD)c",2.7,1212,2,10817.7,85,"25",395,-370,-116,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grenada",21.3,"Grenada","44,241",35.26
"68","Finland","1,852","10,265","1,486,084","FIN","Finland","Northern Europe",5548,18.3,"Helsinki",1292.2,"14-Dec-55","336872",97.4,"Euro (EUR)",0.8,269296,1.1,48678.4,102,"65600",67878,-2279,2342,NA,"Finland","Europe",4.87,4.53,4.35,3.97,3.28,NA,6.1,NA,"Finland",22.2,"Finland","4,524,249",81.65
"69","Republic of Ireland","1,841","9,249","1,721,152","IRL","Ireland","Northern Europe",4983,72.3,"Dublin",1214.7,"14-Dec-55","69825",98.7,"Euro (EUR)",0.8,398590,5.6,81636.6,113,"184131",98389,85742,-44934,63.4,"Ireland","Europe",2.56,2.57,2.92,2.97,2.96,94.9,6.5,NA,"Ireland",25.3,"Republic of Ireland","4,108,868",81.8
"70","Monaco","1,836","67","17,001","MCO","Monaco","Western Europe",40,26523.5,"Monaco",38.9,"28-May-93","2",NA,"Euro (EUR)",0.8,7424,7.6,190532.5,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monaco","26,672",67.49
"71","Bolivia","1,832","22,404","1,208,716","BOL","Bolivia (Plurinational State of)","South America",11833,10.9,"Sucred",277.9,"14-Nov-45","1098581",100.7,"Boliviano (BOB)",6.9,40895,2.2,3552.1,110,"7033",7115,-82,-176,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bolivia",20.2,"Bolivia","7,361,008",60.94
"72","Puerto Rico","1,825","5,938","1,252,713","PRI","Puerto Rico","Caribbean",2828,318.9,"San Juan",2451.4,NA,"8868",89.9,"US Dollar (USD)",NA,104989,1.2,35790.7,94,NA,NA,NA,NA,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Costa Rica","1,819","9,428","1,238,884","CRI","Costa Rica","Central America",5139,100.6,"San José",1378.5,"02-Nov-45","51100",99.8,"Costa Rican Colon (CRC)",613.9,61774,2.1,12238.4,107,"12011",13965,-1954,-1289,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Costa Rica",25.7,"Costa Rica","4,641,899",89.6
"74","Montserrat","1,812","8","1,403","MSR","Montserrat","Caribbean",5,49.8,"Brades Estate",0.5,NA,"103",NA,"E. Caribbean Dollar (XCD)c",2.7,67,5.9,13487.5,NA,"5",NA,-25,-1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montserrat","2,104",47.68
"75","Kosovo","1,801","3,210","274,020",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World","5,625,493,786",70.54
"76","Kosovo","1,801","3,210","274,020",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"European Union","338,046,600",75.1
"77","Kosovo","1,801","3,210","274,020",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo","906,858",50.89
"78","Hong Kong","1,798","13,466","2,876,106","HKG","China, Hong Kong SAR","Eastern Asia",7553,7193.1,"Hong Kong",7490.8,NA,"1107",84.5,"Hong Kong Dollar (HKD)",7.8,365711,-1.2,49180.1,138,"551516",573061,-21546,22666,100,"Hong Kong","Asia",5.4,5.4,5.4,NA,5.4,NA,7.1,NA,NA,NA,"Hong Kong","6,917,355",92.37
"79","South Africa","1,712","102,595","4,072,533","ZAF","South Africa","Southern Africa",60042,49.5,"Pretoriac",2472.6,"07-Nov-45","1221037",97,"Rand (ZAR)",14.7,351431,0.2,6001.4,102,NA,NA,NA,6711,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Africa",28.3,"South Africa","24,209,938",40.42
"80","Belize","1,697","688","71,060","BLZ","Belize","Central America",405,17.8,"Belmopan",23,"25-Sep-81","22965",98.8,"Belize Dollar (BZD)",2,1907,0.3,4815.2,99,"212",787,-575,-128,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belize",24.1,"Belize","258,473",63.78
"81","Malta","1,653","882","120,422","MLT","Malta","Southern Europe",443,1383.7,"Valletta",212.8,"01-Dec-64","1565",100.7,"Euro (EUR)",0.8,14864,4.7,33752.4,71,"3514",5783,-2269,-576,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malta",28.9,"Malta","478,810",89.78
"82","Iran","1,653","146,410","7,617,752","IRN","Iran (Islamic Republic of)","Southern Asia",85029,52.2,"Tehran",9013.7,"24-Oct-45","1628777",101.9,"Iranian Rial (IRR)",42000,603780,-6.5,7282,96,NA,NA,NA,NA,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iran",25.8,"Iran","65,194,977",73.62
"83","Switzerland","1,608","14,055","4,413,452","CHE","Switzerland","Western Europe",8716,220.6,"Bern",426,"10-Sep-02","41291",98.5,"Swiss Franc (CHF)",0.9,731425,1.1,85135,97,"318415",290325,28090,28094,73.8,"Switzerland","Europe",4.68,4.58,4.58,4.55,4.53,82,11,NA,"Switzerland",19.5,"Switzerland","6,096,911",69.75
"84","Guyana","1,606","1,299","73,387","GUY","Guyana","South America",790,4,"Georgetown",109.9,"20-Sep-66","214969",101.3,"Guyana Dollar (GYD)",208.5,5174,5.4,6609.6,132,"2814",2494,320,-1696,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guyana",20.2,"Guyana","495,285",61.24
"85","Seychelles","1,605","172","50,937","SYC","Seychelles","Eastern Africa",99,215,"Victoria",28.1,"21-Sep-76","457",105.1,"Seychelles Rupee (SCR)",21.6,1699,4.7,17381.7,92,"546",1041,-496,-330,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seychelles",14,"Seychelles","88,520",82.62
"86","Namibia","1,596","4,098","171,998","NAM","Namibia","Southern Africa",2587,3.1,"Windhoek",417.4,"23-Apr-90","824116",94.1,"Namibia Dollar (NAD)",14.6,12366,-1.1,4957.4,100,"5600",6823,-1223,180,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Namibia",17.2,"Namibia","629,473",24.52
"87","Curaçao","1,595","305","45,883","CUW","Curaçao","Caribbean",165,371.2,"Willemstad",144,NA,"444",85.3,"Neth. Ant. Guilder (ANG)c",1.8,3102,-3.4,18980,NA,NA,NA,NA,-539,89.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Curaçao","108,601",56.81
"88","Antigua and Barbuda","1,556","146","9,106","ATG","Antigua and Barbuda","Caribbean",99,224.4,"Saint John's",20.8,"11-Nov-81","442",93.4,"E. Caribbean Dollar (XCD)c",2.7,1662,3.4,17112.8,93,"22",401,-380,-113,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antigua and Barbuda",18.9,"Antigua and Barbuda","64,290",68.97
"89","Luxembourg","1,544","1,000","384,378","LUX","Luxembourg","Western Europe",635,245.1,"Luxembourg",119.8,"24-Oct-45","2586",102.4,"Euro (EUR)",0.8,71105,2.3,115480.9,111,"13442",20610,-7167,2999,91.2,"Luxembourg","Europe",5.17,5.05,4.93,4.81,4.66,70.7,24.8,NA,"Luxembourg",22.6,"Luxembourg","481,957",74.42
"90","Cyprus","1,522","1,364","660,854","CYP","Cyprus","Western Asia",1216,131.6,"Nicosia",269.5,"20-Sep-60","9251",99.9,"Euro (EUR)",0.8,NA,NA,NA,106,"2741",7504,-4763,-2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprus",21.8,"Cyprus","670,969",74.88
"91","Cyprus","1,522","1,364","660,854","CYP","Cyprus","Western Asia",1216,131.6,"Nicosia",269.5,"20-Sep-60","9251",99.9,"Euro (EUR)",0.8,NA,NA,NA,106,"2741",7504,-4763,-2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprus",21.8,"Northern Cyprus","301,673",78.8
"92","Caribbean Netherlands","1,515","41","11,922","BES","Bonaire, Sint Eustatius and Saba","Caribbean",26,80.6,"Kralendijk",11.3,NA,NA,NA,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caribbean Netherlands","19,109",72.26
"93","Denmark","1,500","8,824","3,417,017","DNK","Denmark","Northern Europe",5813,137,"Copenhagen",1333.9,"24-Oct-45","42934",98.8,"Danish Krone (DKK)",6.1,350104,2.8,60656.9,101,"107224",96791,10433,26023,88,"Denmark","Europe",3.07,2.69,2.53,2.6,2.61,NA,6.7,NA,"Denmark",19.7,"Denmark","4,752,101",80.79
"94","Jersey","1,453","161","66,391","JEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jersey","84,365",76.14
"95","Collectivity of Saint Martin","1,445","46","12,324","MAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Canada","1,385","53,260","4,712,542","CAN","Canada","Northern America",38068,4.2,"Ottawa",1378.2,"09-Nov-45","9984670",98.6,"Canadian Dollar (CAD)",1.3,1741497,1.9,46550.3,111,NA,NA,NA,-29722,81.5,"Canada","Americas",2.71,2.67,2.61,2.58,2.52,91.6,13.5,NA,"Canada",29.8,"Canada","34,763,194",90.4
"97","Isle of Man","1,372","116","38,008","IMN","Isle of Man","Northern Europe",85,149.8,"Douglas",27.2,NA,"572",NA,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,52.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isle of Man","69,560",81.44
"98","French Guiana","1,356","413","98,041","GUF","French Guiana","South America",306,3.7,"Cayenne",57.5,NA,"83534",98,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Israel","1,343","12,691","4,839,886","ISR","Israel","Western Asia",8790,406.2,"Jerusalemc",919.4,"11-May-49","22072",99.2,"New Israeli Sheqel (ILS)",3.2,395099,3.5,46376.5,95,"49761",70162,-20401,24350,92.5,"Israel","Asia",3.09,3.08,3.03,2.99,3.02,93.3,NA,"","Israel",26.1,"Israel","6,723,119",71.15
"100","United States Virgin Islands","1,326","132","25,389","VIR","United States Virgin Islands","Caribbean",104,297.8,"Charlotte Amalie",52.3,NA,"347",90.4,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Netherlands","1,308","22,986","8,618,815","NLD","Netherlands","Western Europe",17173,509.3,"Amsterdamc",1140.3,"10-Dec-45","41543",99.4,"Euro (EUR)",0.8,907051,1.7,53052.8,100,"551598",482764,68834,71062,91.9,"Netherlands","Europe",6.18,NA,6.52,6.44,6.32,55.4,8.4,NA,"Netherlands",20.4,"Netherlands","12,596,446",71.72
"102","Jamaica","1,275","3,606","156,328","JAM","Jamaica","Caribbean",2974,274.6,"Kingston",589.8,"18-Sep-62","10990",98.5,"Jamaican Dollar (JMD)",141.7,15831,0.9,5369.5,105,"1190",4651,-3461,-35,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaica",24.7,"Jamaica","859,773",30.41
"103","Albania","1,267","3,604","334,090","ALB","Albania","Southern Europe",2873,104.9,"Tirana",484.6,"14-Dec-55","28748",103.6,"Lek (ALL)",100.8,15278,2.2,5303.2,103,NA,NA,NA,-1318,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",21.7,"Albania","1,348,396",47.44
"104","Jordan","1,251","14,122","1,746,997","JOR","Jordan","Western Asia",10269,115.7,"Amman",2108.5,"14-Dec-55","89318",102.6,"Jordanian Dinar (JOD)",0.7,44503,2,4405.5,95,"7646",16889,-9242,-1003,91.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jordan",35.5,"Jordan","4,821,579",43.25
"105","Saint Vincent and the Grenadines","1,192","124","9,644","VCT","Saint Vincent and the Grenadines","Caribbean",111,285.3,"Kingstown",26.6,"16-Sep-80","389",102.5,"E. Caribbean Dollar (XCD)c",2.7,825,0.3,7463.5,104,"54",321,-267,-99,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Vincent and the Grenadines",23.7,"Saint Vincent and the Grenadines","37,527",36.1
"106","Turkey","1,188","101,419","17,004,677","TUR","Turkey","Western Asia",85043,110.5,"Ankara",5018,"24-Oct-45","783562",97.5,"Turkish Lira (TRY)",7.4,761426,0.9,9126.6,111,"169658",219514,-49856,-37315,75.6,"Turkey","Asia",2.65,2.68,2.68,2.75,2.81,68,46.5," 17,000","Turkey",32.1,"Turkey","57,941,051",67.89
"107","Eswatini","1,187","1,427","74,996","SWZ","Eswatini","Southern Africa",1172,68.2,"Mbabanec",68,"24-Sep-68","17363",97,"Lilangeni (SZL)",14.6,4594,1.1,4001.6,101,"2248",2076,172,255,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eswatini",16.5,"Eswatini","526,050",43.78
"108","Guatemala","1,134","20,235","1,271,070","GTM","Guatemala","Central America",18250,170.3,"Guatemala City",2891.2,"21-Nov-45","108889",97.2,"Quetzal (GTQ)",7.8,76710,3.8,4363.1,106,"11658",18198,-6539,4249,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guatemala",21.2,"Guatemala","8,933,623",50.07
"109","Malaysia","1,095","37,194","5,129,131","MYS","Malaysia","South-eastern Asia",32776,99.8,"Kuala Lumpurd",7780.3,"17-Sep-57","330621",105.6,"Malaysian Ringgit (MYR)",4,364684,4.3,11414.3,105,"234042",189804,44238,14848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malaysia",15.6,"Malaysia","28,132,491",82.89
"110","Palestine","1,087","5,708","703,228","PSE","State of Palestine","Western Asia",5223,867.6,"East Jerusalemd",275.1,NA,"6025",102.9,NA,NA,17059,0.9,3424.5,109,"1130",5750,-4620,-1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palestine","2,012,767",38.34
"111","New Caledonia","1,082","314","80,064","NCL","New Caledonia","Melanesia",288,15.8,"Nouméa",197.8,NA,"19100",100.9,"CFP Franc (XPF)c",97.2,9880,1.6,34941.5,100,"1634",2599,-965,-654,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Caledonia","192,375",66.35
"112","Honduras","1,066","11,127","474,587","HND","Honduras","Central America",10063,89.9,"Tegucigalpa",1403.2,"17-Dec-45","112492",99.9,"Lempira (HNL)",24.1,25095,2.7,2574.9,116,"3110",7921,-4811,694,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Honduras",21.4,"Honduras","6,596,213",63.23
"113","Botswana","1,064","2,800","330,275","BWA","Botswana","Southern Africa",2397,4.2,"Gaborone",269.3,"17-Oct-66","582000",94.2,"Pula (BWP)",10.8,18341,3,7961.4,98,"4256",6503,-2247,-1397,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Botswana",18.9,"Botswana","1,951,054",74.18
"114","Guernsey","1,057","67","35,326","GGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guernsey","54,223",85.62
"115","Norway","1,049","5,705","1,489,076","NOR","Norway","Northern Europe",5466,15,"Oslo",1026.8,"27-Nov-45","323772",102.3,"Norwegian Krone (NOK)",8.5,403336,1.2,74985.5,102,"82665",81304,1361,7185,NA,"Norway","Europe",3.86,3.84,3.76,3.68,3.6,80.7,8," 800","Norway",23.1,"Norway","4,346,995",79.99
"116","Bahrain","1,043","1,536","696,614","BHR","Bahrain","Western Asia",1748,2300.4,"Manama",600.4,"21-Sep-71","778",184.5,"Bahraini Dinar (BHD)",0.4,38574,1.8,23504,129,"14066",14193,-127,-2435,89.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bahrain","1,241,174",84.31
"117","Dominica","1,017","74","15,760","DMA","Dominica","Caribbean",72,96.2,"Roseau",14.9,"18-Dec-78","750",NA,"E. Caribbean Dollar (XCD)c",2.7,582,3.6,8110.5,99,"14",197,-183,-225,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominica",27.9,"Dominica","32,995",45.57
"118","Oman","1,011","4,628","399,449","OMN","Oman","Western Asia",5223,16.9,"Muscat",1501.6,"07-Oct-71","309980",193.5,"Rial Omani (OMR)",0.4,76332,-0.8,15343.1,133,"29870",21123,8748,-4140,85.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oman",27,"Oman","3,257,365",71.18
"119","Azerbaijan","997","10,332","833,189","AZE","Azerbaijan","Western Asia",10223,123.7,"Baku",2313.1,"02-Mar-92","86600",99.9,"Azerbaijan manat (AZN)",1.7,48048,2.2,4781.9,126,"13741",10730,3011,-228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Azerbaijan",19.9,"Azerbaijan","5,373,253",52.1
"120","Kazakhstan","983","19,072","1,502,857","KAZ","Kazakhstan","Central Asia",18995,7,"Nur-Sultan",1117.6,"02-Mar-92","2724902",94.4,"Tenge (KZT)",420.9,181667,4.5,9792.6,111,"44929",37855,7074,-6273,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kazakhstan",21,"Kazakhstan","10,858,101",55.98
"121","Saint Kitts and Nevis","964","46","6,607","KNA","Saint Kitts and Nevis","Caribbean",54,205.9,"Basseterre",14.4,"23-Sep-83","261",NA,"E. Caribbean Dollar (XCD)c",2.7,1051,2.5,19896.5,92,"53",272,-219,-72,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Kitts and Nevis",22.9,"Saint Kitts and Nevis","33,794",70.88
"122","Fiji","951","885","69,047","FJI","Fiji","Melanesia",903,49.4,"Suva",178.3,"13-Oct-70","18272",102.5,"Fiji Dollar (FJD)",2,5504,0.5,6185.1,114,"771",1901,-1130,-602,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fiji",30.2,"Fiji","712,025",76.58
"123","Réunion","945","921","494,595","REU","Réunion","Eastern Africa",902,360.7,"Saint-Denis",147.2,NA,"2510",93.8,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,99.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Libya","944","6,437","507,269","LBY","Libya","Northern Africa",6958,4,"Tripoli",1160.9,"14-Dec-55","1676198",101.9,"Libyan Dinar (LYD)",1.4,32600,9.9,4810.1,102,"66843",28468,38375,11276,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Libya",32.5,"Libya","2,316,327",34
"125","Australia","883","23,129","11,608,166","AUS","Australia","Oceania",25788,3.4,"Canberra",452.5,"01-Nov-45","7692024",99.2,"Australian Dollar (AUD)",1.3,1380208,-0.3,54763.2,89,NA,NA,NA,33829,NA,"Australia","Oceania",3.74,3.79,3.82,3.84,3.84,NA,9.1," 1,314","Australia",29,"Australia","22,236,698",84.95
"126","Turks and Caicos Islands","852","39","6,630","TCA","Turks and Caicos Islands","Caribbean",39,41.3,"Cockburn Town",0.1,NA,"948",NA,"US Dollar (USD)",NA,1197,5.3,31353.5,NA,NA,NA,NA,173,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turks and Caicos Islands","32,815",71.76
"127","Northern Mariana Islands","827","41","14,285","MNP","Northern Mariana Islands","Micronesia",58,125.9,"Garapan",4,NA,"457",NA,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,91.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Mauritius","811","1,054","309,830","MUS","Mauritius","Eastern Africa",1273,627.3,"Port Louis",149.4,"24-Apr-68","1979",97.2,"Mauritius Rupee (MUR)",39.5,14180,3.6,11168.6,94,"1544",4224,-2680,-756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritius",10.8,"Mauritius","1,123,773",86.48
"129","Sri Lanka","773","16,882","672,589","LKA","Sri Lanka","Southern Asia",21497,342.8,"Colomboc",606.2,"14-Dec-55","65610",92,"Sri Lanka Rupee (LKR)",186.4,84009,2.3,3939.7,106,"10707",15607,-4900,-1808,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sri Lanka",5.2,"Sri Lanka","17,143,761",78.53
"130","American Samoa","767","34","8,359","ASM","American Samoa","Polynesia",55,275.5,"Pago Pago",48.5,NA,"199",NA,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Cuba","760","8,530","1,115,103","CUB","Cuba","Caribbean",11318,106.3,"Havana",2138.4,"24-Oct-45","109884",98.6,"Cuban Peso (CUP)c",1,105355,2,9295.9,88,NA,NA,NA,NA,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",24.6,"Cuba","10,768,788",96.05
"132","Anguilla","755","12","3,904","AIA","Anguilla","Caribbean",15,168.1,"The Valley",1.4,NA,"91",NA,"E. Caribbean Dollar (XCD)c",2.7,380,5.4,25528.6,NA,NA,NA,NA,-136,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anguilla","10,854",68.36
"133","Belarus","746","7,118","994,037","BLR","Belarus","Eastern Europe",9443,46.5,"Minsk",2016.7,"24-Oct-45","207600",87.2,"Belarusian Ruble (BYN)",2.6,63081,1.2,6673.5,101,"29040",32592,-3553,-241,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belarus",24.5,"Belarus","6,527,591",68.46
"134","Taiwan","739","17,672","9,970,937","TWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taiwan","21,899,240",91.65
"135","Cabo Verde","699","415","64,401","CPV","Cabo Verde","Western Africa",562,139.4,"Praia",167.5,"16-Sep-75","4033",100.8,"Cabo Verde Escudo (CVE)",89.8,1982,5.7,3603.8,80,"53",727,-674,-274,66.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cape Verde",11.8,"Cabo Verde","356,734",60.68
"136","South Korea","693","35,934","34,571,873","KOR","Republic of Korea","Eastern Asia",51305,527.7,"Seoul",9962.4,"17-Sep-91","100340",100.2,"South Korean Won (KRW)",1088,1646539,2,32143.1,100,"512710",467498,45212,75276,81.4,"South Korea","Asia",10.92,11.59,11.61,11.98,12.27,NA,10.6," 9,795","South Korea",4.7,"South Korea","44,784,499",86.43
