"","Country.x","Deaths...million","Deaths","Cases","iso3c","Country.y","Region.x","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","Country..or.territory.","Region.y","Hospital.beds.per.1.000.people.2013","Hospital.beds.per.1.000.people.2014","Hospital.beds.per.1.000.people.2015","Hospital.beds.per.1.000.people.2016","Hospital.beds.per.1.000.people.2017","Occupancy....","ICU.CCB.beds.100.000.inhabitants","Ventilators","Country","Obesity.rate....","Location","Vaccinated","Percent"
"16","San Marino","3,739","126","24,644","SMR","San Marino","Southern Europe",34,566.8,"San Marino",4.5,"02-Mar-92","61",NA,"Euro (EUR)",0.8,1602,1.1,47313.4,NA,NA,NA,NA,NA,97.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Marino","26,357",77.5
"17","Moldova","3,704","12,126","623,684","MDA","Republic of Moldova","Eastern Europe",4024,122.5,"Chisinau",504.3,"02-Mar-92","33846",91.8,"Moldovan Leu (MDL)",17.2,11955,3.5,2956.9,118,"2485",5416,-2931,-796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moldova",18.9,"Moldova","1,108,879",33.88
"18","Greece","3,617","37,572","5,405,742","GRC","Greece","Southern Europe",10371,80.5,"Athens",3154.2,"25-Oct-45","131957",96.4,"Euro (EUR)",0.8,205327,1.9,19604.5,74,"35070",55534,-20463,-12618,79.4,"Greece","Europe",4.24,4.24,4.25,4.2,4.21,61.6,11.2,NA,"Greece",24.9,"Greece","7,936,266",76.42
"19","Lithuania","3,530","9,710","1,329,905","LTU","Lithuania","Northern Europe",2690,42.9,"Vilnius",537.6,"17-Sep-91","65286",86.2,"Euro (EUR)",0.8,54627,4.3,19795.2,94,"32753",33125,-372,4700,67.9,"Lithuania","Europe",7.28,7.22,6.97,6.69,6.56,73.2,15.5,"~1,000","Lithuania",26.3,"Lithuania","1,957,190",71.17
"20","Romania","3,476","68,341","3,455,207","ROU","Romania","Eastern Europe",19128,83.1,"Bucharest",1812.3,"14-Dec-55","238391",94.6,"Romanian Leu (RON)",4,250076,4.1,12914.1,113,"71046",92056,-21010,-13138,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romania",22.5,"Romania","8,187,976",41.65
"21","Gibraltar","3,458","113","20,550","GIB","Gibraltar","Southern Europe",34,3369.1,"Gibraltar",34.7,NA,"6",NA,"Gibraltar Pound (GIP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibraltar","42,175",129.07
"22","United Kingdom","3,403","229,765","24,743,787","GBR","United Kingdom","Northern Europe",68207,281.9,"London",9176.5,"24-Oct-45","242495",97.8,"Pound Sterling (GBP)",0.8,2826442,1.3,41854.5,104,"399622",631221,-231600,-95421,83.7,"United Kingdom","Europe",2.76,2.73,2.61,2.57,2.54,84.3,6.6," 5,000 8,175 (10.1 per 100,000 inhabitants)","United Kingdom",27.8,"United Kingdom","53,806,963",79.97
"23","United States","3,331","1,127,152","103,436,829","USA","United States of America","Northern America",332915,36.4,"Washington, D.C.",5264.5,"24-Oct-45","9833517",97.9,"US Dollar (USD)",NA,21433226,2.2,65133.7,100,"1430254",2405382,-975128,-647218,82.5,"United States","Americas",2.89,2.83,2.8,2.77,2.9,64,29.4," 177,000 68,000 (18.8 per 100,000 inhabitants)","United States",41.9,"United States","270,227,181",81.39
"24","Brazil","3,272","704,659","37,721,749","BRA","Brazil","South America",213993,25.6,"Brasilia",4559,"24-Oct-45","8515767",96.5,"Brazilian Real (BRL)",5.2,1847796,1.1,8755.3,110,NA,NA,NA,-24074,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",22.1,"Brazil","189,643,431",88.08
"25","Italy","3,247","191,715","26,082,645","ITA","Italy","Southern Europe",60368,205.2,"Rome",4234,"14-Dec-55","302069",95,"Euro (EUR)",0.8,2003576,0.3,33089.6,98,"495977",422648,73329,69735,70.7,"Italy","Europe",3.31,3.21,3.2,3.17,3.18,78.9,12.5," 5,324 (January 2020) 5,000 (8.3 per 100,000 inhabitants)","Italy",19.9,"Italy","50,929,393",86.27
"26","Armenia","3,147","8,751","449,650","ARM","Armenia","Western Asia",2968,104.3,"Yerevan",1083.3,"02-Mar-92","29743",88.8,"Armenian Dram (AMD)",522.6,13673,7.6,4622.7,81,"2520",4541,-2021,-394,63.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armenia",20.2,"Armenia","1,122,040",40.35
"27","Chile","3,142","61,607","5,288,823","CHL","Chile","South America",19212,25.8,"Santiago",6723.5,"24-Oct-45","756102",97.3,"Chilean Peso (CLP)",729,282318,1.1,14896.5,103,"59804",59367,438,3370,87.6,"Chile","Americas",2.16,2.11,2.14,2.12,2.11,79.1,NA,NA,"Chile",28,"Chile","18,088,517",92.27
"28","Martinique","3,003","1,104","230,354","MTQ","Martinique","Caribbean",375,353.5,"Fort-de-France",79.4,NA,"1090",85,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,89.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Poland","3,002","119,654","6,523,335","POL","Poland","Eastern Europe",37797,123.4,"Warsaw",1775.9,"24-Oct-45","312679",94,"Zloty (PLN)",3.8,595862,4.5,15727,103,"254169",254660,-491,21067,60,"Poland","Europe",6.61,6.63,6.63,6.64,6.62,NA,6.9," 10,100 (26.6 per 100,000 inhabitants)","Poland",23.1,"Poland","22,877,261",57.4
"30","Belgium","2,946","34,339","4,817,196","BEL","Belgium","Western Europe",11632,384.2,"Brussels",2065.3,"27-Dec-45","30528",98.4,"Euro (EUR)",0.8,533097,1.7,46198.3,102,"298313",301292,-2979,-933,98,"Belgium","Europe",5.93,5.85,5.83,5.76,5.76,81.8,15.9,NA,"Belgium",22.1,"Belgium","9,267,479",79.51
"31","Paraguay","2,945","19,971","735,853","PRY","Paraguay","South America",7220,18.2,"Asunción",3279.2,"24-Oct-45","406752",103.2,"Guarani (PYG)",6916.8,38087,0.2,5406.5,102,"8181",9927,-1746,738,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paraguay",20.3,"Paraguay","3,993,938",58.9
"32","Trinidad and Tobago","2,867","4,390","191,496","TTO","Trinidad and Tobago","Caribbean",1403,273.6,"Port of Spain",544.3,"18-Sep-62","5127",97.4,"TT Dollar (TTD)c",6.7,23209,-1.2,16637.3,104,"14561",1076,13485,1056,53.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trinidad and Tobago",18.6,"Trinidad and Tobago","753,588",49.39
"33","Argentina","2,866","130,472","10,054,576","ARG","Argentina","South America",45606,16.7,"Buenos Aires",15057.3,"24-Oct-45","2796427",95.3,"Argentine Peso (ARS)",84,449664,-2.2,10041.5,113,"54884",42356,12528,2985,92,"Argentina","Americas",NA,NA,NA,NA,5,NA,NA,NA,"Argentina",28.3,"Argentina","41,510,828",91.21
"34","Ukraine","2,768","109,918","5,520,483","UKR","Ukraine","Eastern Europe",43467,75,"Kyiv",2973.3,"24-Oct-45","603500",86.4,"Hryvnia (UAH)",28.3,NA,NA,NA,109,NA,NA,NA,5207,NA,"Ukraine","Europe",NA,NA,NA,NA,8.8,NA,NA," 3,600","Ukraine",24.1,"Ukraine","15,729,617",36.19
"35","European Union","2,765","1,244,831","184,084,567",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World","5,625,493,786",70.54
"36","European Union","2,765","1,244,831","184,084,567",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"European Union","338,046,600",75.1
"37","European Union","2,765","1,244,831","184,084,567",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo","906,858",50.89
"38","Russia","2,764","400,047","23,029,404","RUS","Russian Federation","Eastern Europe",145912,8.9,"Moscow",12476.2,"24-Oct-45","17098246",86.4,"Russian Ruble (RUB)",73.9,1692930,1.3,11605.6,110,NA,NA,NA,33949,74.6,"Russia","Europe",9.07,8.81,8.35,8.16,8.05,NA,8.3," 40,000 (27.3 per 100,000 inhabitants)","Russia",23.1,"Russia","89,081,596",61.56
