"Country","iso3c","Deaths.per.million","population.density","GDP.per.capita","Obesity.rate","Vaccination.rate"
"India","IND",375,468.7,2116.2,3.9,72.5
"Brunei","BRN",363,83.8,31086.3,14.1,100.48
"Sao Tome and Principe","STP",351,232.7,1961.2,12.4,61.68
"Zimbabwe","ZWE",350,39,1464,15.5,40.25
"Singapore","SGP",332,8423.8,64102.7,6.1,91.55
"Lesotho","LSO",306,71.1,1157.5,16.6,43.98
"Saudi Arabia","SAU",264,16.4,23139.8,35.4,74.27
"Qatar","QAT",256,252.4,64781.7,35.1,105.83
"United Arab Emirates","ARE",248,119.5,43103.3,31.7,100
"Egypt","EGY",223,104.7,3161.3,32,51.27
"Solomon Islands","SLB",211,25.2,1944.8,22.5,47.47
"Mauritania","MRT",210,4.6,1677.9,12.7,44.42
"Venezuela","VEN",206,32.5,4732.8,25.6,78.29
"Zambia","ZMB",203,25.5,1292.5,8.1,58.14
"Afghanistan","AFG",193,61,469.9,5.5,44.13
"Comoros","COM",191,477.4,1370.1,7.8,53.41
"Kiribati","KIR",182,149.9,1656.9,46,76.88
"Cambodia","KHM",182,96,1643.6,3.9,91.29
"Bangladesh","BGD",172,1277.6,1846.4,3.6,88.5
"Djibouti","DJI",168,43.2,3252.3,13.5,33.2
"Kyrgyzstan","KGZ",154,34.6,1317.8,16.6,26.19
"Algeria","DZA",153,18.7,3975.5,27.4,17.75
"Syria","SYR",142,99.5,1193.9,27.8,14.9
"Samoa","WSM",139,70.7,4285.5,47.3,86.07
"Gambia","GMB",137,245.7,776.4,10.3,34.55
"Malawi","MWI",131,208.4,434.8,5.8,26.19
"Pakistan","PAK",129,292.1,1186.7,8.6,70.21
"Gabon","GAB",128,8.8,7773.2,15,13.02
"Cook Islands","COK",117,73.2,21603.5,55.9,88.73
"Senegal","SEN",113,89.3,1452.1,8.8,15.5
"Tonga","TON",112,148.3,4865.5,48.2,81.73
"Equatorial Guinea","GNQ",109,51.7,8130.4,8,16.53
"Sudan","SDN",107,25.4,815.1,6.6,32.44
"Rwanda","RWA",106,538.2,820.1,5.8,76.75
"Kenya","KEN",105,96.6,1816.5,7.1,26.83
"Timor-Leste","TLS",102,90.4,1560.5,3.8,65.92
"Laos","LAO",89,32,2625.4,5.3,79.31
"Tuvalu","TUV",88,397.5,4036,51.6,53.4
"Guinea-Bissau","GNB",84,71.7,688.4,9.5,34.83
"Somalia","SOM",77,26.1,105.3,8.3,50.99
"Uganda","UGA",76,235.8,736.6,5.3,41.25
"Haiti","HTI",74,418.8,714.8,22.7,4.5
"Cameroon","CMR",70,57.6,1501.8,11.4,13.35
"Mozambique","MOZ",68,40.9,503.7,7.2,69.37
"Papua New Guinea","PNG",66,20.1,2845.2,21.3,3.77
"Republic of the Congo","COG",65,16.6,2304.1,9.6,11.92
"Yemen","YEM",64,57.8,855.1,17.1,3.09
"Ethiopia","ETH",61,117.9,827.5,4.5,35.72
"Liberia","LBR",55,53.8,523,9.9,72.14
"Angola","AGO",54,27.2,2670.9,8.2,46.1
"Madagascar","MDG",48,48.9,523,5.3,9.12
"Ghana","GHA",43,139.5,2202.6,10.9,39.5
"Vanuatu","VUT",42,25.8,3023.4,25.2,54.06
"Nicaragua","NIC",35,55.7,1912.9,23.7,90.1
"Guinea","GIN",33,54.9,967.4,7.7,55.41
"Mali","MLI",32,17.1,886.8,8.6,19.27
"Togo","TGO",32,155.9,899.5,8.4,25.41
"Ivory Coast","CIV",29,85.1,2276.3,10.3,48.18
"Uzbekistan","UZB",29,79.8,1756.2,16.6,62.59
"Bhutan","BTN",26,20.5,3360.6,6.4,89.35
"Central African Republic","CAF",20,7.9,467.9,7.5,46.61
"Burkina Faso","BFA",17,78.6,786.9,5.6,26.86
"Democratic Republic of the Congo","COD",14,40.7,545.2,6.7,15.54
"Sierra Leone","SLE",14,112.8,527.5,8.7,61.03
"Nigeria","NGA",14,232.1,2361.2,8.9,42.22
"South Sudan","SSD",12,18.6,448.4,6.6,39.28
"Tajikistan","TJK",12,69.7,894,14.2,54.18
"Benin","BEN",12,110.4,1220.5,9.6,27.69
"Niger","NER",12,19.8,554.6,5.5,23.72
"Chad","TCD",10,13.4,706.8,6.1,35.29
"Burundi","BDI",1,477.2,260.4,5.4,0.29
"North Korea","PRK",0,215,639.6,6.8,0
