"Country","Deaths_in_Million","Deaths","Cases","iso3c","Region","Population-000-2021","Pop-density-per-km2-2021","Capital-city","Capital-city-pop000-2021","UN-membership-date","Surface-area-km2","Sex-ratio-m-per-100-f","National-currency","Exchange-rate-per-us","GDP-million-US","GDP-growth-rate-annual-const","GDP-per-capita-current-US","Agricultural-production-index","International-trade-exports-million-current-US","International-trade-imports-million-current-US","International-trade-balance-million-current-US","Balance-of-payments-current-million-US","Urban-population-of-total-population","Obesity-rate","Vaccinated","Percent"
"Mauritius",811,1054,309830,"MUS","Eastern Africa",1273,627.3,"Port Louis",149.4,"24-Apr-68",1979,97.2,"Mauritius Rupee (MUR)",39.5,14180,3.6,11168.6,94,"1544",4224,-2680,-756,NA,10.8,1123773,86.48
"Sri Lanka",773,16882,672589,"LKA","Southern Asia",21497,342.8,"Colomboc",606.2,"14-Dec-55",65610,92,"Sri Lanka Rupee (LKR)",186.4,84009,2.3,3939.7,106,"10707",15607,-4900,-1808,18.6,5.2,17143761,78.53
"Cuba",760,8530,1115103,"CUB","Caribbean",11318,106.3,"Havana",2138.4,"24-Oct-45",109884,98.6,"Cuban Peso (CUP)c",1,105355,2,9295.9,88,NA,NA,NA,NA,77.1,24.6,10768788,96.05
"Anguilla",755,12,3904,"AIA","Caribbean",15,168.1,"The Valley",1.4,NA,91,NA,"E. Caribbean Dollar (XCD)c",2.7,380,5.4,25528.6,NA,NA,NA,NA,-136,100,NA,10854,68.36
"Belarus",746,7118,994037,"BLR","Eastern Europe",9443,46.5,"Minsk",2016.7,"24-Oct-45",207600,87.2,"Belarusian Ruble (BYN)",2.6,63081,1.2,6673.5,101,"29040",32592,-3553,-241,79,24.5,6527591,68.46
"Taiwan",739,17672,9970937,"TWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21899240,91.65
"Cabo Verde",699,415,64401,"CPV","Western Africa",562,139.4,"Praia",167.5,"16-Sep-75",4033,100.8,"Cabo Verde Escudo (CVE)",89.8,1982,5.7,3603.8,80,"53",727,-674,-274,66.2,11.8,356734,60.68
"South Korea",693,35934,34571873,"KOR","Eastern Asia",51305,527.7,"Seoul",9962.4,"17-Sep-91",100340,100.2,"South Korean Won (KRW)",1088,1646539,2,32143.1,100,"512710",467498,45212,75276,81.4,4.7,44784499,86.43
"Wallis and Futuna",689,8,3550,"WLF","Polynesia",11,79.2,"Matu-Utu",1,NA,142,NA,"CFP Franc (XPF)c",97.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7150,61.66
"Mongolia",672,2284,1011116,"MNG","Eastern Asia",3329,2.1,"Ulaanbaatar",1552.7,"27-Oct-61",1564116,97,"Tugrik (MNT)",2849.9,13853,4.9,4295.2,140,"7576",5294,2282,-675,68.5,20.6,2272965,68.27
"El Salvador",667,4230,201807,"SLV","Central America",6518,314.6,"San Salvador",1105.7,"24-Oct-45",21041,87.9,"US Dollar (USD)",NA,27023,2.4,4187.2,100,"5030",10594,-5564,121,72.7,24.6,4652597,73.69
"New Zealand",645,3347,2385438,"NZL","Oceania",4861,18.5,"Wellington",413,"24-Oct-45",268107,96.6,"New Zealand Dollar (NZD)",1.4,206936,1.5,43229.3,101,"38877",37098,1779,-1886,86.6,30.8,4301605,82.96
"Maldives",603,316,186694,"MDV","Southern Asia",544,1812.1,"Male",176.9,"21-Sep-65",300,171.3,"Rufiyaa (MVR)",15.4,5642,7,10626.5,105,"149",1809,-1661,-1119,40.2,8.6,399308,76.23
"Japan",602,74694,33803572,"JPN","Eastern Asia",126051,345.8,"Tokyo",37435.2,"18-Dec-56",377930,95.4,"Yen (JPY)",103.6,5082466,0.7,40063.5,100,"641283",635402,5880,164497,91.7,4.3,104705133,84.47
"Kuwait",602,2570,666333,"KWT","Western Asia",4329,242.9,"Kuwait City",3052.5,"14-May-63",17818,158.5,"Kuwaiti Dinar (KWD)",0.3,134624,0.4,31999.3,132,"72958",37506,35452,33811,100,37.9,3457412,80.99
"Indonesia",587,161918,6813429,"IDN","South-eastern Asia",276362,152.6,"Jakarta",10638.7,"28-Sep-50",1910931,101.4,"Rupiah (IDR)",14105,1119191,5,4135.6,117,NA,NA,NA,-4341,56,6.9,203845350,73.99
"Philippines",577,66696,4113434,"PHL","South-eastern Asia",111047,372.4,"Manila",13698.9,"24-Oct-45",3e+05,100.8,"Philippine Piso (PHP)",48,359354,5.9,3323.8,104,"63901",90692,-26791,12979,47.1,6.4,78484848,67.92
"Iraq",570,25375,2465545,"IRQ","Western Asia",41179,94.8,"Baghdad",6974.4,"21-Dec-45",435052,102.5,"Iraqi Dinar (IQD)",1450,225232,4.4,5729.7,120,"2582",27611,-25029,-6197,70.7,30.4,11332925,25.47
"Cayman Islands",538,37,31472,"CYM","Caribbean",66,277.1,"George Town",34.9,NA,264,NA,"Cayman Islands Dollar (KYD)",0.8,6020,3.2,92692.4,NA,NA,1337,NA,-582,100,NA,62023,90.25
"Faroe Islands",527,28,34658,"FRO","Northern Europe",49,35.1,"Tórshavn",20.8,NA,1393,NA,"Danish Krone (DKK)",6.1,NA,NA,NA,96,NA,NA,NA,NA,42.2,NA,41715,85.04
"Iceland",498,186,209142,"ISL","Northern Europe",343,3.4,"Reykjavik",216.4,"19-Nov-46",103000,101,"Iceland Krona (ISK)",127.2,24188,1.9,71344.6,107,"4560",5671,-1111,244,93.9,21.9,309770,84
"Thailand",480,34474,4757473,"THA","South-eastern Asia",69951,136.9,"Bangkok",10350.2,"16-Dec-46",513140,94.7,"Baht (THB)",30,542017,2.4,7784.7,101,"219084",188668,30416,16298,50.7,10,57005497,79.62
"Vietnam",440,43206,11623698,"VNM","South-eastern Asia",98169,316.6,"Hanoi",4479.6,"20-Sep-77",331236,99.7,"Dong (VND)",23131,261921,7,2715.3,105,"282817",262001,20816,13101,36.6,2.1,90272853,91.94
"Morocco",435,16297,1276812,"MAR","Northern Africa",37345,83.7,"Rabat",1864.9,"12-Nov-56",446550,98.6,"Moroccan Dirham (MAD)",8.9,NA,NA,NA,111,"26965",43280,-16315,-1633,63,26.1,25020168,66.8
"Nepal",393,12031,1003441,"NPL","Southern Asia",29675,207,"Kathmandu",1376.1,"14-Dec-55",147181,85.5,"Nepalese Rupee (NPR)",117.8,30715,7,1073.6,113,NA,NA,NA,-65,20.2,4.1,27804935,91.02
"Dominican Republic",390,4384,667073,"DOM","Caribbean",10954,226.7,"Santo Domingo",3245,"24-Oct-45",48671,99.7,"Dominican Peso (DOP)",58.3,88941,5.1,8282.1,118,NA,NA,NA,-1541,81.8,27.8,7352139,65.48
"India",375,532032,44998838,"IND","Southern Asia",1393409,468.7,"New Delhi",29399.1,"30-Oct-45",3287263,108.1,"Indian Rupee (INR)",73,2891582,4.2,2116.2,114,"275489",367980,-92492,33007,34.5,3.9,1027418330,72.5
"Greenland",371,21,11971,"GRL","Northern America",57,0.1,"Nuuk",18.4,NA,2166086,NA,"Danish Krone (DKK)",6.1,3024,2.8,53352.6,NA,"748",791,-43,NA,87.1,NA,41243,72.52
"Brunei",363,163,311449,"BRN","South-eastern Asia",442,83.8,"Bandar Seri Begawan",40.8,"21-Sep-84",5765,107.7,"Brunei Dollar (BND)",1.3,13469,3.9,31086.3,97,"7113",7236,-124,514,77.9,14.1,451149,100.48
"Myanmar",359,19494,641280,"MMR","South-eastern Asia",54806,83.9,"Nay Pyi Taw",546.5,"19-Apr-48",676577,93,"Kyat (MMK)",1329.1,76785,2.9,1420.7,108,"16929",17964,-1035,68,30.9,NA,34777314,64.64
"Sao Tome and Principe",351,80,6597,"STP","Middle Africa",223,232.7,"Sao Tome",80.1,"16-Sep-75",964,100.2,"Dobra (STN)",20,422,1.3,1961.2,107,"11",164,-153,-60,73.6,12.4,140256,61.68
"Zimbabwe",350,5718,265753,"ZWE","Eastern Africa",15092,39,"Harare",1521.3,"25-Aug-80",390757,91.4,"Zimbabwe Dollar (ZWL)",81.8,21441,-8.1,1464,113,"4395",5048,-653,-308,32.2,15.5,6437808,40.25
"Singapore",332,1872,2594809,"SGP","South-eastern Asia",5897,8423.8,"Singapore",5868.1,"21-Sep-65",725,109.8,"Singapore Dollar (SGD)",1.3,372074,0.7,64102.7,112,"362928",329032,33895,59786,100,6.1,5160551,91.55
"Lesotho",306,706,34490,"LSO","Southern Africa",2159,71.1,"Maseru",201.9,"17-Oct-66",30355,97.5,"Loti (LSL)",14.6,2460,1.5,1157.5,96,"2250",1500,750,-52,28.6,16.6,1014073,43.98
"Saudi Arabia",264,9646,841469,"SAU","Western Asia",35341,16.4,"Riyadh",7070.7,"24-Oct-45",2206714,137.1,"Saudi Riyal (SAR)",3.8,792967,0.3,23139.8,132,"168822",131354,37468,-19647,84.1,35.4,27041364,74.27
"Qatar",256,690,514524,"QAT","Western Asia",2930,252.4,"Doha",637.3,"21-Sep-71",11627,299.3,"Qatari Rial (QAR)",3.6,183466,-0.2,64781.7,119,"51504",25835,25669,-3617,99.2,35.1,2852178,105.83
"United Arab Emirates",248,2349,1067030,"ARE","Western Asia",9991,119.5,"Abu Dhabi",1452.1,"09-Dec-71",71024,222,"UAE Dirham (AED)d",3.7,421142,1.7,43103.3,112,"376382",198753,177628,NA,86.8,31.7,9991089,100
"Egypt",223,24830,516023,"EGY","Northern Africa",104258,104.7,"Cairo",20485,"24-Oct-45",1002000,102.1,"Egyptian Pound (EGP)",15.7,317359,5.6,3161.3,102,NA,NA,NA,-14236,42.7,32,56907319,51.27
"Solomon Islands",211,153,21611,"SLB","Melanesia",704,25.2,"Honiara",81.8,"19-Sep-78",28896,103.5,"Solomon Is. Dollar (SBD)c",8,1303,1.2,1944.8,105,"680",141,539,-25,24.2,22.5,343821,47.47
"Mauritania",210,997,63757,"MRT","Western Africa",4775,4.6,"Nouakchott",1259,"27-Oct-61",1030700,100.9,"Ouguiya (MRU)",36.7,7594,5.9,1677.9,109,"2700",3937,-1237,-831,54.5,12.7,2103721,44.42
"Venezuela",206,5856,552695,"VEN","South America",28705,32.5,"Caracas",2935.5,"15-Nov-45",929690,96.7,"Bolívar (VEF)",10,134960,-35,4732.8,91,"2164",414,1750,-3870,88.2,25.6,22157232,78.29
"Zambia",203,4069,349287,"ZMB","Eastern Africa",18921,25.5,"Lusaka",2646.6,"01-Dec-64",752612,98.1,"Zambian Kwacha (ZMW)",21.2,23085,1.4,1292.5,110,"7805",5314,2491,2254,44.1,8.1,11637730,58.14
"Afghanistan",193,7950,226220,"AFG","Southern Asia",39835,61,"Kabul",4114,"19-Nov-46",652864,105.3,"Afghani (AFN)",77.1,17877,4,469.9,111,"1022",9683,-8661,-3137,25.8,5.5,18148121,44.13
"Comoros",191,160,9109,"COM","Eastern Africa",888,477.4,"Moroni",62.4,"12-Nov-75",2235,101.8,"Comorian Franc (KMF)",400.9,1166,3.2,1370.1,100,"46",178,-133,-37,29.2,7.8,438825,53.41
"Kiribati",182,24,5085,"KIR","Micronesia",121,149.9,"Bairiki",3.2,"14-Sep-99",726,96.8,"Australian Dollar (AUD)",1.3,195,2.3,1656.9,93,"4",123,-119,87,54.8,46,100900,76.88
"Cambodia",182,3056,138941,"KHM","South-eastern Asia",16946,96,"Phnom Penh",2014,"14-Dec-55",181035,95.4,"Riel (KHR)",4076.5,27098,6.8,1643.6,121,"17543",18696,-1153,-3076,23.8,3.9,15307310,91.29
"Macau",174,121,3514,"MAC","Eastern Asia",658,22019.8,"Macao",642.1,NA,33,92.6,"Pataca (MOP)",8,53859,-4.7,84096.7,82,"1025",11950,-10926,18556,100,NA,679703,97.77
"Bangladesh",172,29477,2045734,"BGD","Southern Asia",166304,1277.6,"Dhaka",20283.6,"17-Sep-74",148460,102.1,"Taka (BDT)",84.8,301051,8.2,1846.4,109,"30768",45777,-15009,1082,37.4,3.6,151504341,88.5
"Djibouti",168,189,15690,"DJI","Eastern Africa",1002,43.2,"Djibouti",568.8,"20-Sep-77",23200,110.4,"Djibouti Franc (DJF)",177.7,3166,7.7,3252.3,126,NA,NA,NA,448,77.9,13.5,372077,33.2
"Kyrgyzstan",154,1024,88889,"KGZ","Central Asia",6628,34.6,"Bishkek",1017.2,"02-Mar-92",199949,97.9,"Som (KGS)",82.6,8455,4.5,1317.8,110,"1864",3387,-1523,-1067,36.6,16.6,1736541,26.19
"Algeria",153,6881,271910,"DZA","Northern Africa",44617,18.7,"Algiers",2729.3,"08-Oct-62",2381741,102.1,"Algerian Dinar (DZD)",132.1,171158,0.8,3975.5,112,"28986",41678,-12692,-17148,73.2,27.4,7840131,17.75
"Syria",142,3163,57423,"SYR","Western Asia",18276,99.5,"Damascus",2353.6,"24-Oct-45",185180,100.1,"Syrian Pound (SYP)",1250,20379,4.8,1193.9,118,"400",729,-329,NA,54.8,27.8,3295630,14.9
"Samoa",139,31,16778,"WSM","Polynesia",200,70.7,"Apia",36.1,"15-Dec-76",2842,107.3,"Tala (WST)",2.5,845,2.3,4285.5,104,"37",313,-276,15,18.1,47.3,191403,86.07
"Gambia",137,372,12626,"GMB","Western Africa",2487,245.7,"Banjul",443.4,"21-Sep-65",11295,98.4,"Dalasi (GMD)",51.6,1823,6.1,776.4,92,"26",553,-527,-79,61.9,10.3,934799,34.55
"Malawi",131,2686,88986,"MWI","Eastern Africa",19648,208.4,"Lilongwe",1074.7,"01-Dec-64",117726,97.3,"Malawi Kwacha (MWK)",773.1,8099,5.2,434.8,129,"632",2406,-1775,-1837,17.2,5.8,5343858,26.19
"Pakistan",129,30656,1580631,"PAK","Southern Asia",225200,292.1,"Islamabad",1095.1,"30-Sep-47",796095,106,"Pakistan Rupee (PKR)",159.6,256996,3.3,1186.7,118,"22237",45775,-23538,245,36.9,8.6,165567890,70.21
"Gabon",128,307,48992,"GAB","Middle Africa",2279,8.8,"Libreville",823.9,"20-Sep-60",267668,103.6,"CFA Franc, BEAC (XAF)c",534.6,16888,3.6,7773.2,107,NA,NA,NA,NA,89.7,15,311040,13.02
"Cook Islands",117,2,7158,"COK","Polynesia",18,73.2,"Avarua",13.1,NA,236,NA,"New Zealand Dollar (NZD)",1.4,379,4.8,21603.5,79,"19",105,-85,NA,75.3,55.9,15112,88.73
"Senegal",113,1971,89022,"SEN","Western Africa",17196,89.3,"Dakar",3057.1,"28-Sep-60",196712,95.4,"CFA Franc, BCEAO (XOF)d",534.6,23665,5.2,1452.1,153,"3929",7812,-3883,-2215,47.7,8.8,2684696,15.5
"Tonga",112,12,16825,"TON","Polynesia",107,148.3,"Nuku'alofa",22.9,"14-Sep-99",747,100.2,"Pa'anga (TOP)",2.3,508,0.7,4865.5,91,"14",350,-336,-19,23.1,48.2,87342,81.73
"Equatorial Guinea",109,183,17130,"GNQ","Middle Africa",1450,51.7,"Malabo",296.8,"12-Nov-68",28052,125.4,"CFA Franc, BEAC (XAF)c",534.6,11025,-5.6,8130.4,109,NA,NA,NA,NA,72.6,8,270109,16.53
"Sudan",107,5046,63993,"SDN","Northern Africa",44909,25.4,"Khartoum",5677.9,"12-Nov-56",NA,99.9,"Sudanese Pound (SDG)",55,34895,1.3,815.1,116,NA,NA,NA,-5215,34.9,6.6,15207452,32.44
"Rwanda",106,1468,133194,"RWA","Eastern Africa",13276,538.2,"Kigali",1094.8,"18-Sep-62",26338,96.7,"Rwanda Franc (RWF)",972.5,10355,9.4,820.1,123,"1629",3595,-1966,-1254,17.3,5.8,10572981,76.75
"Kenya",105,5689,343955,"KEN","Eastern Africa",54986,96.6,"Nairobi",4556.4,"16-Dec-63",591958,98.8,"Kenyan Shilling (KES)",109.2,95502,5.4,1816.5,111,"6023",15405,-9382,-5559,27.5,7.1,14494372,26.83
"Timor-Leste",102,138,23460,"TLS","South-eastern Asia",1344,90.4,"Dili",281.1,"27-Sep-02",14919,102.1,"US Dollar (USD)",NA,2018,18.7,1560.5,99,NA,NA,NA,-357,30.9,3.8,884194,65.92
"Laos",89,671,218870,"LAO","South-eastern Asia",7379,32,"Vientiane",673.1,"14-Dec-55",236800,100.8,"Lao Kip (LAK)",9274,18823,4.7,2625.4,102,"5669",6309,-639,-947,35.6,5.3,5888649,79.31
"Tuvalu",88,1,2943,"TUV","Polynesia",12,397.5,"Funafuti",7,"05-Sep-00",26,NA,"Australian Dollar (AUD)",1.3,47,6.3,4036,103,NA,NA,NA,-9,63.2,51.6,6368,53.4
"China",85,121714,99312876,"CHN","Eastern Asia",1444216,153.8,"Beijing",20035.5,"24-Oct-45",9600000,105.2,"Yuan Renminbi (CNY)",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,1310292000,91.89
"Guinea-Bissau",84,177,9614,"GNB","Western Africa",2016,71.7,"Bissau",578.8,"17-Sep-74",36125,95.9,"CFA Franc, BCEAO (XOF)c",534.6,1322,4.5,688.4,107,NA,NA,NA,-127,43.8,9.5,733271,34.83
"Nauru",78,1,5393,"NRU","Micronesia",11,543.6,"Yaren",11.3,"14-Sep-99",21,NA,"Australian Dollar (AUD)",1.3,133,1,12350.9,101,NA,NA,NA,8,100,NA,13106,103.27
"Somalia",77,1361,27334,"SOM","Eastern Africa",16360,26.1,"Mogadishu",2179.9,"20-Sep-60",637657,99.4,"Somali Shilling (SOS)",24300,1626,2.9,105.3,97,NA,NA,NA,NA,45.6,8.3,8972167,50.99
"Uganda",76,3632,171843,"UGA","Eastern Africa",47124,235.8,"Kampala",3137.7,"25-Oct-62",241550,97.3,"Uganda Shilling (UGX)",3650.1,32609,6.7,736.6,100,"4149",8251,-4102,-2333,24.4,5.3,19488104,41.25
"Haiti",74,860,34326,"HTI","Caribbean",11542,418.8,"Port-au-Prince",2704.2,"24-Oct-45",27750,97.4,"Gourde (HTG)",72.2,8051,-0.9,714.8,92,NA,NA,NA,72,56.2,22.7,521396,4.5
"Cameroon",70,1974,125090,"CMR","Middle Africa",27224,57.6,"Yaoundé",3822.4,"20-Sep-60",475650,100.1,"CFA Franc, BEAC (XAF)c",534.6,38861,3.9,1501.8,107,"4437",7452,-3014,-1695,57,11.4,3727930,13.35
"Mozambique",68,2249,233652,"MOZ","Eastern Africa",32163,40.9,"Maputo",1104.3,"16-Sep-75",799380,94.6,"Mozambique Metical (MZN)",74.9,15297,2.3,503.7,125,"6651",10080,-3429,-3813,36.5,7.2,22869646,69.37
"Papua New Guinea",66,670,46864,"PNG","Melanesia",9119,20.1,"Port Moresby",374.5,"10-Oct-75",462840,104.4,"Kina (PGK)",3.5,24970,6.5,2845.2,106,NA,NA,NA,5451,13.2,21.3,382020,3.77
"Republic of the Congo",65,389,25196,"COG","Middle Africa",5657,16.6,"Brazzaville",2308.1,"20-Sep-60",342000,99.9,"CFA Franc, BEAC (XAF)c",534.6,12397,-0.9,2304.1,107,"3046",321,2725,-3594,67.4,9.6,695760,11.92
"Yemen",64,2159,11945,"YEM","Western Asia",30491,57.8,"Sana'a",2874.4,"30-Sep-47",527968,101.5,"Yemeni Rial (YER)",250.2,24935,2.1,855.1,98,"~0",5298,-5298,-2419,37.3,17.1,1041596,3.09
"Ethiopia",61,7574,501060,"ETH","Eastern Africa",117876,117.9,"Addis Ababa",4592,"13-Nov-45",1104300,100.1,"Ethiopian Birr (ETB)",39.2,92750,8.3,827.5,108,"2265",4509,-2244,-2719,21.2,4.5,44073766,35.72
"Liberia",55,294,7930,"LBR","Western Africa",5180,53.8,"Monrovia",1467,"02-Nov-45",111369,101.2,"Liberian Dollar (LRD)",164.2,2582,-2.3,523,92,NA,NA,NA,-653,51.6,9.9,3825381,72.14
"Angola",54,1936,105968,"AGO","Middle Africa",33934,27.2,"Luanda",8044.7,"01-Dec-76",1246700,97.9,"Kwanza (AOA)",656.2,85001,-1.5,2670.9,110,"72235",40991,31244,894,66.2,8.2,16406741,46.1
"Madagascar",48,1425,68344,"MDG","Eastern Africa",28427,48.9,"Antananarivo",3210.4,"20-Sep-60",587041,99.6,"Malagasy Ariary (MGA)",3824.8,14105,4.4,523,104,"2005",2968,-963,-331,37.9,5.3,2700391,9.12
"Ghana",43,1462,171653,"GHA","Western Africa",31732,139.5,"Accra",2475.2,"08-Mar-57",238537,102.8,"Ghana Cedi (GHS)",5.8,66999,6.5,2202.6,118,NA,NA,NA,-1864,56.7,10.9,13221421,39.5
"Vanuatu",42,14,12019,"VUT","Melanesia",314,25.8,"Port Vila",52.7,"15-Sep-81",12189,102.7,"Vatu (VUV)",107.7,907,2.8,3023.4,100,"47",256,-209,113,25.4,25.2,176624,54.06
"Nicaragua",35,245,16043,"NIC","Central America",6702,55.7,"Managua",1055.5,"24-Oct-45",130374,97.2,"Cordoba Oro (NIO)",34.8,12521,-3.9,1912.9,118,"4965",5424,-459,958,58.8,23.7,6260823,90.1
"Guinea",33,468,38563,"GIN","Western Africa",13497,54.9,"Conakry",1889.2,"12-Dec-58",245836,94,"Guinean Franc (GNF)",9400.8,12354,5.6,967.4,125,"3167",3389,-222,-315,36.5,7.7,7679918,55.41
"Mali",32,743,33152,"MLI","Western Africa",20856,17.1,"Bamako",2529.3,"28-Sep-60",1240192,100.5,"CFA Franc, BCEAO (XOF)c",534.6,17433,6.6,886.8,121,"578",10593,-10015,-836,43.1,8.6,4354292,19.27
"Togo",32,290,39522,"TGO","Western Africa",8478,155.9,"Lomé",1785.3,"20-Sep-60",56785,99.1,"CFA Franc, BCEAO (XOF)c",534.6,7270,5.3,899.5,110,"992",2488,-1496,-55,42.2,8.4,2248264,25.41
"Ivory Coast",29,835,88338,"CIV","Western Africa",27054,85.1,"Yamoussoukroc",231.1,"20-Sep-60",322462,101.6,"CFA Franc, BCEAO (XOF)d",534.6,58540,6.2,2276.3,114,"12181",10482,1699,-1349,51.2,10.3,13568372,48.18
"Uzbekistan",29,1016,174123,"UZB","Central Asia",33936,79.8,"Tashkent",2490.3,"02-Mar-92",448969,99.6,"Uzbekistan Sum (UZS)",10483,57921,5.6,1756.2,102,"13281",20020,-6740,-3138,50.4,16.6,21674823,62.59
"Bhutan",26,21,62697,"BTN","Southern Asia",780,20.5,"Thimphu",203.3,"21-Sep-71",38394,113.7,"Ngultrum (BTN)",73,2564,3.8,3360.6,99,"584",922,-337,-381,41.6,6.4,699116,89.35
"Central African Republic",20,113,15367,"CAF","Middle Africa",4920,7.9,"Bangui",869.6,"20-Sep-60",622984,98.3,"CFA Franc, BEAC (XAF)c",534.6,2220,3,467.9,106,"73",75,-2,NA,41.8,7.5,2600389,46.61
"Burkina Faso",17,396,22056,"BFA","Western Africa",21497,78.6,"Ouagadougou",2652.7,"20-Sep-60",272967,100,"CFA Franc, BCEAO (XOF)c",534.6,15991,5.7,786.9,107,"3269",4150,-882,-524,30,5.6,6089089,26.86
"Democratic Republic of the Congo",14,1468,98863,"COD","Middle Africa",92378,40.7,"Kinshasa",13743.3,"20-Sep-60",2344858,99.7,"Congolese Franc (CDF)",1971.8,47320,4.4,545.2,110,"14122",6663,7459,-1095,45,6.7,15388889,15.54
"Sierra Leone",14,125,7766,"SLE","Western Africa",8141,112.8,"Freetown",1168.4,"27-Sep-61",72300,99.7,"Leone (SLL)",10133.4,4122,5.5,527.5,105,"193",1120,-927,-915,42.5,8.7,5252127,61.03
"Nigeria",14,3155,286572,"NGA","Western Africa",211401,232.1,"Abuja",3095.1,"07-Oct-60",923768,102.8,"Naira (NGN)",381,474517,2.2,2361.2,107,"91933",108104,-16171,-16976,51.2,8.9,92261510,42.22
"Tanzania",12,846,43078,"TZA","Eastern Africa",61498,69.4,"Dodoma",261.6,"14-Dec-61",947303,99.9,"Tanzanian Shilling (TZS)",2298.5,NA,NA,NA,107,"2793",10168,-7375,-1301,NA,8.4,34434933,52.57
"South Sudan",12,138,18368,"SSD","Eastern Africa",11381,18.6,"Juba",385.8,"14-Jul-11",658841,100.2,"S. Sudanese Pound (SSP)c",177.3,4960,0.9,448.4,107,NA,NA,NA,257,19.9,6.6,4287160,39.28
"Tajikistan",12,125,17786,"TJK","Central Asia",9750,69.7,"Dushanbe",893.8,"02-Mar-92",142600,101.5,"Somoni (TJS)",11.3,8333,7.5,894,159,NA,NA,NA,336,27.3,14.2,5282863,54.18
"Benin",12,163,28036,"BEN","Western Africa",12451,110.4,"Porto-Novoc",285.3,"20-Sep-60",114763,99.8,"CFA Franc, BCEAO (XOF)d",534.6,14403,6.9,1220.5,119,"763",2551,-1788,-581,47.9,9.6,3697190,27.69
"Niger",12,315,9515,"NER","Western Africa",25131,19.8,"Niamey",1251.5,"20-Sep-60",1267000,101.2,"CFA Franc, BCEAO (XOF)c",534.6,12928,5.8,554.6,120,"3068",743,2324,-1572,16.5,5.5,6217508,23.72
"Chad",10,194,7698,"TCD","Middle Africa",16915,13.4,"N'Djamena",1371.5,"20-Sep-60",1284000,99.7,"CFA Franc, BEAC (XAF)c",534.6,11272,3,706.8,118,NA,NA,NA,NA,23.3,6.1,6254729,35.29
"Burundi",1,15,54366,"BDI","Eastern Africa",12255,477.2,"Gitega",899,"18-Sep-62",27834,98.5,"Burundi Franc (BIF)",1946.4,3002,1.8,260.4,150,"164",878,-713,-363,13.4,5.4,36909,0.29
"North Korea",0,6,1,"PRK","Eastern Asia",25887,215,"Pyongyang",3060.9,"17-Sep-91",120538,95.7,"North Korean Won (KPW)",103,16331,0.4,639.6,102,NA,NA,NA,NA,62.1,6.8,0,0
"Pitcairn Islands",NA,NA,4,"PCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,100
"Falkland Islands",NA,NA,1923,"FLK","South America",4,0.3,"Stanley",2.3,NA,12173,NA,"Falkland Islands Pound (FKP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2632,75.57
"Niue",NA,NA,887,"NIU","Polynesia",2,6.2,"Alofi",0.7,NA,260,NA,"New Zealand Dollar (NZD)",1.4,NA,NA,NA,94,NA,NA,NA,NA,45.5,NA,1650,102.23
"Turkmenistan",NA,0,0,"TKM","Central Asia",6118,13,"Ashgabat",828.1,"02-Mar-92",488100,97,"Turkmen. Manat (TMT)c",3.5,48276,3,8124.5,95,NA,NA,NA,NA,52,18.6,32240,0.53
"Tokelau",NA,0,80,"TKL","Polynesia",1,136.8,"Tokelauc",NA,NA,12,NA,"New Zealand Dollar (NZD)",1.4,NA,NA,NA,106,NA,NA,NA,NA,0,NA,2203,116.38
"Saint Helena, Ascension and Tristan da Cunha",NA,NA,2166,"SHN","Western Africa",6,15.6,"Jamestown",0.6,NA,309,NA,"Saint Helena Pound (SHP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4361,71.83
