"","Location","Vaccinated","Percent","iso3c"
"131","Georgia","1,654,504",44.03,"GEO"
"132","Albania","1,348,396",47.44,"ALB"
"133","Latvia","1,346,184",71.84,"LVA"
"134","Slovenia","1,265,802",59.72,"SVN"
"135","Bahrain","1,241,174",84.31,"BHR"
"136","Mauritius","1,123,773",86.48,"MUS"
"137","Armenia","1,122,040",40.35,"ARM"
"138","Moldova","1,108,879",33.88,"MDA"
"139","Yemen","1,041,596",3.09,"YEM"
"140","Lesotho","1,014,073",43.98,"LSO"
"141","Bosnia and Herzegovina","943,394",28.91,"BIH"
"142","Gambia","934,799",34.55,"GMB"
"143","Kosovo","906,858",50.89,NA
"144","Timor-Leste","884,194",65.92,"TLS"
"145","Estonia","869,431",65.56,"EST"
"146","Jamaica","859,773",30.41,"JAM"
"147","North Macedonia","854,570",40.82,"MKD"
"148","Trinidad and Tobago","753,588",49.39,"TTO"
"149","Guinea-Bissau","733,271",34.83,"GNB"
"150","Fiji","712,025",76.58,"FJI"
"151","Bhutan","699,116",89.35,"BTN"
"152","Republic of the Congo","695,760",11.92,"COG"
"153","Macau","679,703",97.77,"MAC"
"154","Cyprus","670,969",74.88,"CYP"
"155","Namibia","629,473",24.52,"NAM"
"156","Eswatini","526,050",43.78,"SWZ"
"157","Haiti","521,396",4.5,"HTI"
"158","Guyana","495,285",61.24,"GUY"
"159","Luxembourg","481,957",74.42,"LUX"
"160","Malta","478,810",89.78,"MLT"
"161","Brunei","451,149",100.48,"BRN"
"162","Comoros","438,825",53.41,"COM"
"163","Maldives","399,308",76.23,"MDV"
"164","Papua New Guinea","382,020",3.77,"PNG"
"165","Djibouti","372,077",33.2,"DJI"
"166","Cabo Verde","356,734",60.68,"CPV"
"167","Solomon Islands","343,821",47.47,"SLB"
"168","Gabon","311,040",13.02,"GAB"
"169","Iceland","309,770",84,"ISL"
"170","Northern Cyprus","301,673",78.8,"CYP"
"171","Montenegro","292,783",46.63,"MNE"
"172","Equatorial Guinea","270,109",16.53,"GNQ"
"173","Suriname","267,820",45.26,"SUR"
"174","Belize","258,473",63.78,"BLZ"
"175","New Caledonia","192,375",66.35,"NCL"
"176","Samoa","191,403",86.07,"WSM"
"177","French Polynesia","190,908",62.33,"PYF"
"178","Vanuatu","176,624",54.06,"VUT"
"179","Bahamas","174,810",42.64,"BHS"
"180","Barbados","163,846",58.17,"BRB"
"181","Sao Tome and Principe","140,256",61.68,"STP"
"182","Curaçao","108,601",56.81,"CUW"
"183","Kiribati","100,900",76.88,"KIR"
"184","Aruba","90,478",84.99,"ABW"
"185","Seychelles","88,520",82.62,"SYC"
"186","Tonga","87,342",81.73,"TON"
"187","Jersey","84,365",76.14,"JEY"
"188","Isle of Man","69,560",81.44,"IMN"
"189","Antigua and Barbuda","64,290",68.97,"ATG"
"190","Cayman Islands","62,023",90.25,"CYM"
"191","Saint Lucia","60,140",33.43,"LCA"
"192","Andorra","57,901",72.52,"AND"
"193","Guernsey","54,223",85.62,"GGY"
"194","Bermuda","48,554",75.65,"BMU"
"195","Grenada","44,241",35.26,"GRD"
"196","Gibraltar","42,175",129.07,"GIB"
"197","Faroe Islands","41,715",85.04,"FRO"
"198","Greenland","41,243",72.52,"GRL"
"199","Saint Vincent and the Grenadines","37,527",36.1,"VCT"
"200","Burundi","36,909",0.29,"BDI"
"201","Saint Kitts and Nevis","33,794",70.88,"KNA"
"202","Dominica","32,995",45.57,"DMA"
"203","Turks and Caicos Islands","32,815",71.76,"TCA"
"204","Turkmenistan","32,240",0.53,"TKM"
"205","Sint Maarten","29,788",67.41,"SXM"
"206","Liechtenstein","26,771",68.02,"LIE"
"207","Monaco","26,672",67.49,"MCO"
"208","San Marino","26,357",77.5,"SMR"
"209","British Virgin Islands","19,466",62.55,"VGB"
"210","Caribbean Netherlands","19,109",72.26,"BES"
"211","Cook Islands","15,112",88.73,"COK"
"212","Nauru","13,106",103.27,"NRU"
"213","Anguilla","10,854",68.36,"AIA"
"214","Wallis and Futuna","7,150",61.66,"WLF"
"215","Tuvalu","6,368",53.4,"TUV"
"216","Saint Helena, Ascension and Tristan da Cunha","4,361",71.83,"SHN"
"217","Falkland Islands","2,632",75.57,"FLK"
"218","Tokelau","2,203",116.38,"TKL"
"219","Montserrat","2,104",47.68,"MSR"
"220","Niue","1,650",102.23,"NIU"
"221","Pitcairn Islands","47",100,"PCN"
"222","North Korea","0",0,"PRK"
